key,tau,p,regime,composite-zi,composite,global-slv,const-lam,bucket,garch,pit
KXNHLHART-26-KKUC,183.95833333333331,0.05,3,-14.32293451837505,-14.32293451837505,-12.005483870141305,-27.631021115928547,-27.631021115928547,-27.631021115928547,0.9999974725165661
KXNHLHART-26-KKUC,182.95833333333331,0.485,1,-5.254619037440155,-6.268905060896487,-7.149769907041853,-2.4554625921205204,-11.195770343882705,-6.609674825261331,0.09437114783522027
KXNHLHART-26-KKUC,181.95833333333331,0.125,3,-12.353136742156744,-12.353136742156744,-7.901234733093289,-27.631021115928547,-27.631021115928547,-5.754815382645248,0.9999843516106897
KXNHLHART-26-KKUC,180.95833333333331,0.485,1,-4.502190284623584,-3.7867895523575985,-3.26924603406557,-8.342392798468842,-3.110886531624399,-3.9660334894315574,0.5049088565124185
KXNHLHART-26-KKUC,176.95833333333331,0.485,1,-5.506494221596959,-6.3826025709612155,-7.32162824918386,-14.765793464490258,-12.11904590392863,-5.740277267221033,0.0811169238464649
KXNHLHART-26-KKUC,171.95833333333331,0.105,3,-0.8196826229693435,-0.8196826229693435,-1.559468279046399,-3.8773558273545605,-2.0199733965513937,-4.036921049684664,0.606872211466084
KXNHLHART-26-KKUC,170.95833333333331,0.105,3,-0.8196826229693435,-0.8196826229693435,-0.778674907000348,-2.4343929427077367,-2.0199733965513937,-3.9776708266412486,0.5837297522770767
KXNHLHART-26-KKUC,169.95833333333331,0.105,3,-0.8196826229693435,-0.8196826229693435,-0.4132836963613957,-2.0644943727143903,-2.0199733965513937,-3.918484337082141,0.4044894200667369
KXNHLHART-26-KKUC,168.95833333333331,0.105,3,-0.8196826229693435,-0.8196826229693435,-0.2590416435801487,-1.954256076524115,-2.0199733965513937,-3.859369507648005,0.4495437824136969
KXNHLHART-26-KKUC,167.95833333333331,0.105,3,-0.8196826229693435,-0.8196826229693435,-0.19763596459481694,-1.9202696538871311,-2.0199733965513937,-3.8003352276649753,0.28654498378131743
KXNHLHART-26-KKUC,166.95833333333331,0.105,3,-0.8196826229693435,-0.8196826229693435,-0.17439706933578691,-1.9100319406491466,-2.0199733965513937,-3.7413914599082485,0.6523390979045227
KXNHLHART-26-KKUC,165.95833333333331,0.105,3,-0.8196826229693435,-0.8196826229693435,-0.16602151294389578,-1.9073321049531895,-2.0199733965513937,-3.682549362471591,0.40699799915670104
KXNHLHART-26-KKUC,164.95833333333331,0.105,3,-0.8196826229693435,-0.8196826229693435,-0.16324227428129953,-1.9070463256401975,-2.0199733965513937,-3.623821422411089,0.3202917798357741
KXNHLHART-26-KKUC,163.95833333333331,0.105,3,-1.929765570654431,-1.929765570654431,-2.7527839848702493,-2.029869468404497,-2.075259048098323,-3.5677360211059965,0.7717524808790659
KXNHLHART-26-KKUC,162.95833333333331,0.11,3,-1.929765570654431,-1.929765570654431,-1.991581305612656,-1.913095048084508,-2.075259048098322,-3.5096700319413356,0.18709910515974076
KXNHLHART-26-KKUC,161.95833333333331,0.105,3,-4.915895039574281,-4.915895039574281,-6.144492883966884,-4.22336785861566,-3.4021465026713797,-3.52800470658369,0.014383926585032484
KXNHLHART-26-KKUC,160.95833333333331,0.055,3,-0.8196826229693435,-0.8196826229693435,-0.9189935627948757,-2.297813364234812,-2.0199733965513937,-3.40035832008135,0.28787699315300935
KXNHLHART-26-KKUC,159.95833333333331,0.055,3,-2.8548979492865887,-2.8548979492865887,-3.5436725706463674,-1.7176096792659348,-2.2411166417091217,-3.35811416279943,0.8843564516860438
KXNHLHART-26-KKUC,158.95833333333331,0.07,3,-3.9695657226849543,-3.9695657226849543,-3.774679483818475,-2.793883852654278,-2.5175480905355707,-3.3253585148005897,0.9456049817730197
KXNHLHART-26-KKUC,157.95833333333331,0.1,3,-4.3101967178654546,-4.3101967178654546,-3.8657605209446113,-2.08775238749717,-2.90455657068505,-3.31137351700852,0.02788864051972042
KXNHLHART-26-KKUC,156.95833333333331,0.065,3,-4.457114032516324,-4.457114032516324,-4.047759168211887,-2.7574070629062204,-2.904556570685049,-3.26974732080539,0.9548539194845298
KXNHLHART-26-KKUC,155.95833333333331,0.1,3,-4.3101967178654546,-4.3101967178654546,-3.703354145739359,-2.2431034468454207,-2.90455657068505,-3.229812769838093,0.023914082836155915
KXNHLHART-26-KKUC,154.95833333333331,0.065,3,-1.929765570654431,-1.929765570654431,-1.7177010978535703,-2.0214256080998343,-2.075259048098322,-3.0935010485351317,0.1725006754570542
KXNHLHART-26-KKUC,153.95833333333331,0.06,3,-0.8196826229693435,-0.8196826229693435,-0.5641033646580703,-1.5974802485426904,-2.0199733965513937,-3.030782845342681,0.6709057691783428
KXNHLHART-26-KKUC,152.95833333333331,0.06,3,-0.8196826229693435,-0.8196826229693435,-0.28894576502244107,-1.5312268673645812,-2.0199733965513937,-2.974805047654756,0.6205149696688178
KXNHLHART-26-KKUC,151.95833333333331,0.06,3,-0.8196826229693435,-0.8196826229693435,-0.168261318676534,-1.5115552556580232,-2.0199733965513937,-2.9192730797602997,0.5113462853274171
KXNHLHART-26-KKUC,150.95833333333331,0.06,3,-0.8196826229693435,-0.8196826229693435,-0.1190545839017014,-1.5061119395558715,-2.0199733965513937,-2.864235097356184,0.3563028624461124
KXNHLHART-26-KKUC,149.95833333333331,0.06,3,-0.8196826229693435,-0.8196826229693435,-0.1001613631664359,-1.5050517202232172,-2.0199733965513937,-2.809743375071019,0.3804553895667413
KXNHLHART-26-KKUC,148.95833333333331,0.06,3,-0.8196826229693435,-0.8196826229693435,-0.0932839014462345,-1.5053679688335715,-2.0199733965513937,-2.755854398522298,0.45246869700688697
KXNHLHART-26-KKUC,147.95833333333331,0.06,3,-0.8196826229693435,-0.8196826229693435,-0.09096551951854974,-1.5061338942369729,-2.0199733965513937,-2.7026288900229374,0.43124685462853896
KXNHLHART-26-KKUC,146.95833333333331,0.06,3,-0.8196826229693435,-0.8196826229693435,-0.090341650443901,-1.5070583711214858,-2.0199733965513937,-2.6501317508229496,0.3122623493254059
KXNHLHART-26-KKUC,145.95833333333331,0.06,3,-0.8196826229693435,-0.8196826229693435,-0.09034345739179524,-1.5080468464334735,-2.0199733965513937,-2.5984319016337416,0.46440062397461485
KXNHLHART-26-KKUC,144.95833333333331,0.06,3,-0.8196826229693435,-0.8196826229693435,-0.09057698354661094,-1.5090669677734971,-2.0199733965513937,-2.5476020028033255,0.48305482043956843
KXNHLHART-26-KKUC,143.95833333333331,0.06,3,-0.8196826229693435,-0.8196826229693435,-0.09089774163462745,-1.5101068655103744,-2.0199733965513937,-2.4977180362036946,0.41184198073022693
KXNHLHART-26-KKUC,142.95833333333331,0.06,3,-0.8196826229693435,-0.8196826229693435,-0.09125286555443676,-1.5111618425849231,-2.0199733965513937,-2.448858732985379,0.4546756829194203
KXNHLHART-26-KKUC,141.95833333333331,0.06,3,-0.8196826229693435,-0.8196826229693435,-0.09162305444338494,-1.512229928521492,-2.0199733965513937,-2.4011048351566053,0.43179892542260917
KXNHLHART-26-KKUC,140.95833333333331,0.06,3,-0.8196826229693435,-0.8196826229693435,-0.09200129222530548,-1.513310289854181,-2.0199733965513937,-2.354538184690718,0.45138582546363615
KXNHLHART-26-KKUC,139.95833333333331,0.06,3,-0.8196826229693435,-0.8196826229693435,-0.09238505765958438,-1.5144026105546657,-2.0199733965513937,-2.3092406416549953,0.5580901747698136
KXNHLHART-26-KKUC,138.95833333333331,0.06,3,-4.96639140120995,-4.96639140120995,-9.198379689137042,-5.165872173165078,-4.010323525780579,-3.4838425045457226,0.9715382958465564
KXNHLHART-26-KKUC,137.95833333333331,0.12,3,-5.5080331213159335,-5.5080331213159335,-4.392590624161238,-2.205561638956345,-4.010323525780582,-3.3762508430909928,0.0058246922588323325
KXNHLHART-26-KKUC,136.95833333333331,0.055,3,-2.499489368183519,-2.499489368183519,-2.5367631058640514,-3.4119324212593756,-2.2411166417091217,-2.53190193535504,0.12336587124247222
KXNHLHART-26-KKUC,135.95833333333331,0.03,3,-0.3113743401821423,-0.3113743401821423,-0.6585045772799637,-1.9268509988447928,-1.7654397156545079,-2.406259291829958,0.4988595861745474
KXNHLHART-26-KKUC,134.95833333333331,0.03,3,-0.3113743401821423,-0.3113743401821423,-0.2642888211510306,-1.2547477067018717,-1.7654397156545079,-2.3595591058920258,0.45870597000928526
KXNHLHART-26-KKUC,133.95833333333331,0.03,3,-0.3113743401821423,-0.3113743401821423,-0.11714156788801243,-1.0636595449585484,-1.7654397156545079,-2.314119131078268,0.6454619408250029
KXNHLHART-26-KKUC,132.95833333333331,0.03,3,-0.3113743401821423,-0.3113743401821423,-0.0646011856304561,-1.0088597612659118,-1.7654397156545079,-2.270020202230716,0.6738771028591071
KXNHLHART-26-KKUC,131.95833333333331,0.03,3,-0.3113743401821423,-0.3113743401821423,-0.04579583165191321,-0.9931454710011717,-1.7654397156545079,-2.2273407079476444,0.744866285527499
KXNHLHART-26-KKUC,130.95833333333331,0.025,3,-2.3512482149803744,-2.3512482149803744,-2.5474450794958967,-1.7742716807847805,-1.857416631247666,-2.226823871324442,0.10500265420486297
