key,band,p0,tau0,budget,evd,evj,full_vd,full_vj,zi_vd,zi_vj,clam_vd,clam_vj
110474507112100782314899291119134194443200805577700445554821199693457132940419,14.0,0.415,14.0,0.24277499999999996,0.0001102500000000002,0.9758632499999996,0.0007699854545697147,0.24508049856426825,0.0005613210119231609,0.24216520021836008,0.0007160723565957531,0.2452986658573137
110474507112100782314899291119134194443200805577700445554821199693457132940419,7.0,0.309,7.0,0.21351900000000001,0.0001102500000000002,0.02337075,0.00041064546573538923,0.21715546085217682,0.00024218651647341132,0.21568441273404104,0.00036251713388993215,0.21740083376481475
110474507112100782314899291119134194443200805577700445554821199693457132940419,3.0,0.065,3.0,0.060775,0.0,0.0046335,9.02889996747227e-05,0.08751355927757669,6.351867458385981e-05,0.07641865146767833,7.717842033531297e-05,0.07687561716260162
99093432786402804880099032071467135852496600757661324561038671432812359584511,7.0,0.25,5.0,0.1875,0.0003499999999999998,0.55565,0.0002654385068127519,0.1948636153608247,0.00019891878825300274,0.18438552129185765,0.00028274840537028745,0.19335032163882027
99093432786402804880099032071467135852496600757661324561038671432812359584511,3.0,0.24,3.0,0.1824,0.0002499999999999996,0.55565,0.00016808772639016455,0.18403574248101126,0.00012233097116587987,0.18291652762291286,0.00015854971056777835,0.18429747074380196
94912568711096777820489984696016798235367443551768917424847805010888215349861,30.0,0.225,30.0,0.174375,0.0011500000000000004,0.586987,0.0012543422672369848,0.1862030897955246,0.0011304429250381626,0.20120311971218338,0.0013833313462377416,0.2150554401074967
94912568711096777820489984696016798235367443551768917424847805010888215349861,14.0,0.355,14.0,0.22897499999999998,0.0003250000000000006,0.572912,0.0007544769285097154,0.2335640203337762,0.0005293200910447929,0.2351243678115292,0.0006644584492642347,0.22987715306684606
94912568711096777820489984696016798235367443551768917424847805010888215349861,7.0,0.35,7.0,0.22749999999999998,0.0002250000000000004,0.566787,0.0003802877190431794,0.23298250820346852,0.00026267583760613124,0.23091293155775328,0.000351358492397116,0.22930764455634084
94912568711096777820489984696016798235367443551768917424847805010888215349861,3.0,0.28,3.0,0.2016,0.0002250000000000004,0.561437,0.00017356746573656912,0.20142189967939822,0.00011606317035470513,0.20257530315682884,0.0001606942669330875,0.20270158701889326
28763246044322995220208532073700111687599343514604674596345286876678085708461,30.0,0.645,30.0,0.22897499999999998,0.0006500000000000012,0.0289445,0.001591023139244495,0.24219349747235136,0.0011981949682401715,0.2450126890908159,0.0017855119815271203,0.23997397096366854
28763246044322995220208532073700111687599343514604674596345286876678085708461,14.0,0.655,14.0,0.22597499999999998,0.00030000000000000057,0.0289445,0.0007954087722609701,0.22669000108977563,0.000522402518142348,0.236920555467619,0.0007379194299209754,0.23038775781829324
28763246044322995220208532073700111687599343514604674596345286876678085708461,7.0,0.745,7.0,0.189975,0.00010000000000000018,0.024044500000000007,0.00035640541086456455,0.19950423676581244,0.00026910277332917605,0.19398396700994586,0.0003996321788604826,0.19214145326882062
28763246044322995220208532073700111687599343514604674596345286876678085708461,3.0,0.875,3.0,0.109375,0.0,0.01364450000000001,0.00011314900207984473,0.11782500620993457,7.035789035613388e-05,0.1182165219349751,0.00015091679265494837,0.10506144634454563
115307860962719805060784163204351769077176612029040401546976102705811910754396,30.0,0.13,30.0,0.1131,0.0003750000000000004,0.011024999999999998,0.001210404610613471,0.1494232216770662,0.0010783803276153572,0.15227388095473857,0.001190305494192874,0.1655280053087376
115307860962719805060784163204351769077176612029040401546976102705811910754396,14.0,0.125,14.0,0.109375,0.0002000000000000001,0.011024999999999998,0.000566894584979534,0.1317180117945017,0.0005100163411243873,0.14569359628440715,0.0005607956122180174,0.15330638140352965
115307860962719805060784163204351769077176612029040401546976102705811910754396,7.0,0.105,7.0,0.093975,0.0,0.011024999999999998,0.00028346217477473386,0.12369898477205844,0.000236726743625332,0.1300079560713656,0.00028321506980640454,0.12930308698514625
115307860962719805060784163204351769077176612029040401546976102705811910754396,3.0,0.105,3.0,0.093975,0.0,0.011024999999999998,8.410610659726949e-05,0.11525137816596233,9.810634433836481e-05,0.10225898163273929,9.800905679645165e-05,0.11447107114070963
5056021949680764886450706128576006104255409441521337705030162619307203025844,30.0,0.07,30.0,0.0651,0.0016172500000000004,0.00697325,0.0009734016441410079,0.11258729471899706,0.0008256390514578435,0.11807406951203625,0.0008681023554877404,0.0999312899444923
37996229390440240146587017237938254706160177953974319874002048470954673333092,30.0,0.665,30.0,0.222775,0.0013999999999999924,0.16567499999999996,0.001596471728351412,0.22863482228434934,0.0012008003026355183,0.23209864038968514,0.0017092820008663715,0.23778481355495928
37996229390440240146587017237938254706160177953974319874002048470954673333092,14.0,0.63,14.0,0.2331,0.00012499999999999995,0.159925,0.0007943761705138419,0.23316097793352356,0.0005956528948512372,0.24144941047283738,0.000741260960854126,0.23425053418893335
37996229390440240146587017237938254706160177953974319874002048470954673333092,7.0,0.345,7.0,0.22597499999999998,2.4999999999999767e-05,0.04794999999999999,0.00037844288456989253,0.22636611323134226,0.00024422126978751907,0.22590299467879743,0.0003322355910057349,0.2268942297056978
37996229390440240146587017237938254706160177953974319874002048470954673333092,3.0,0.175,3.0,0.14437499999999998,0.0,0.036025,0.00015427838575469695,0.14413132178921234,0.00011577503796974114,0.14756908181427142,0.00017293551026941807,0.14698300786145285
34595222436901694034568466087145334098073564547697700427928775408006876228602,30.0,0.05,30.0,0.0475,0.00041625000000000017,0.0011222500000000002,0.0006332557093666133,0.07220866204384854,0.0007016017722507465,0.08707992736552636,0.0006348395772297008,0.07430057994135211
1055693601432679328800218881177720614081791586446901138319460804908450948623,7.0,0.395,6.0,0.238975,0.00030000000000000057,0.15693050000000003,0.0003407462412112605,0.23733651432165917,0.00022382516384366732,0.2446725309448005,0.00029877429782623706,0.2391767705909956
1055693601432679328800218881177720614081791586446901138319460804908450948623,3.0,0.365,3.0,0.231775,0.00010000000000000018,0.15603050000000004,0.00017050570734014275,0.23307603652327316,0.00011902953391652169,0.23220880242032038,0.00014469237736882665,0.23278466187837624
111438321982214808947405390477217950574145926651350669978740377385110279570932,7.0,0.65,6.0,0.22749999999999998,0.00017500000000000032,0.14296250000000008,0.0003119512978569628,0.22719555497438532,0.00023332676164001905,0.23121958441602217,0.0002990308142010761,0.23073098926350152
111438321982214808947405390477217950574145926651350669978740377385110279570932,3.0,0.63,3.0,0.2331,0.00012500000000000022,0.14256250000000006,0.00018107356360932164,0.23417607574366295,0.00011563984774013916,0.23543189849735127,0.00013416178657271204,0.2321045091593453
14212502447901373932695986684135871935804266051880921687302061690055379880889,7.0,0.91,5.0,0.08189999999999997,0.0,0.2115,0.00014415322560017317,0.10773315513762016,0.0001429710427126118,0.11237585622842744,0.00018744591764440863,0.10606240214233631
14212502447901373932695986684135871935804266051880921687302061690055379880889,3.0,0.62,3.0,0.2356,0.0,0.1582,0.0001702287456157981,0.23461742950404513,0.00011738819184149978,0.23840173494141598,0.00015103831774639518,0.23593935298734534
9615203856096629892386539456442600562590457750409762242477423995829323222544,30.0,0.29,23.0,0.20589999999999997,0.00015000000000000029,0.4489255,0.0010544574906248,0.21806745857474713,0.0008964620224872302,0.2128917013808129,0.0010706331647235125,0.22869731741087335
9615203856096629892386539456442600562590457750409762242477423995829323222544,14.0,0.875,14.0,0.109375,0.00012500000000000022,0.24767550000000008,0.000637472055800998,0.14685261341489597,0.0004731891534111898,0.14734678669207496,0.0008623708515175543,0.1329097418466027
9615203856096629892386539456442600562590457750409762242477423995829323222544,7.0,0.58,7.0,0.2436,0.00010000000000000018,0.18152550000000006,0.0004095275799714062,0.24402601970806484,0.00024535167382526,0.24612467943080302,0.00036334083967481126,0.24411069766601962
9615203856096629892386539456442600562590457750409762242477423995829323222544,3.0,0.905,3.0,0.08597499999999998,0.0,0.02000050000000002,8.78391463593267e-05,0.08939811460729791,6.197810508408645e-05,0.09150271275332335,0.00013951448441801105,0.09405396464866232
61179614070263625487802970410534591713493604233009651368844931158727670843698,30.0,0.505,22.0,0.249975,0.0005499999999999999,0.8747465000000001,0.0011896630368741612,0.24883169168362612,0.0008662510456331841,0.25682603622604433,0.001139922617453572,0.2466955883399482
