key,band,budget,p0,tau0,evd,evj,mvd,mvj,cvd,cvj
KXTOPSONG-25FEB22-NLU,3.0,0.11310000000000009,0.8699999999999999,3.0,0.0,0.03689999999999999,0.00010904245270010354,0.19730160909264086,9.727430083148807e-05,0.1605152684372174
KXCPI-25APR-T0.0,30.0,0.08189999999999997,0.91,30.0,0.0007999999999999948,0.03829999999999985,0.001004162169396841,0.3600313156855103,0.0008025258601608667,0.31017962278767053
KXCPI-25APR-T0.0,14.0,0.04750000000000004,0.95,14.0,0.00010000000000000018,0.020999999999999904,0.0004495519096013292,0.23009817834178925,0.0004092584428807858,0.17049117605185718
KXCPI-25APR-T0.0,7.0,0.056400000000000144,0.9399999999999998,7.0,0.0,0.01239999999999996,0.00020637108535332468,0.20788638579134094,0.00019005572122974225,0.1528498869329098
KXCPI-25APR-T0.0,3.0,0.0899999999999999,0.9000000000000001,3.0,0.0,0.008999999999999966,9.353780020325074e-05,0.17410224092843266,8.262613048552002e-05,0.12985386437326588
KXNBADRAFTPICK-26-6-DACU,30.0,0.162975,0.20500000000000002,30.0,0.0018500000000000016,0.103125,0.0011541727692939681,0.3330401156654991,0.0010209048357894745,0.2750421533231048
KXNBADRAFTPICK-26-6-DACU,14.0,0.1716,0.22,14.0,0.0008000000000000014,0.0956,0.0004999353466494818,0.2970961684964671,0.00035547424921440973,0.2542646001812369
KXNBADRAFTPICK-26-6-DACU,7.0,0.21389999999999998,0.31,7.0,0.0005000000000000009,0.0904,0.00023378756787477813,0.2904016047345397,0.0001398487727543805,0.25396111632020074
KXNBADRAFTPICK-26-6-DACU,3.0,0.2176,0.32,3.0,0.00020000000000000036,0.09,8.474863095392665e-05,0.2752765935949769,4.427712483321051e-05,0.22677393385875136
KXB200MAX-26DEC31-2.870,30.0,0.0899999999999999,0.9000000000000001,24.0,0.0005999999999999989,0.37234999999999996,0.0007819611796833967,0.32897934811275364,0.0006794824321278638,0.27883823257056556
KXB200MAX-26DEC31-2.870,14.0,0.245775,0.565,14.0,2.5000000000000045e-05,0.24805,0.0005338161426090999,0.3488079078073143,0.0003167291405374453,0.2954604656065786
KXB200MAX-26DEC31-2.870,7.0,0.249975,0.505,8.0,0.0,0.245025,0.0002742287838110172,0.3173802893544726,0.0001576154163640441,0.27712814919002055
KXNFLDRAFTPICK-26-8-CTAT,30.0,0.168775,0.215,30.0,0.0009250000000000006,0.11165000000000003,0.0010940233403390945,0.35804582197376417,0.000974827614358979,0.27659913119633195
KXNFLDRAFTPICK-26-8-CTAT,14.0,0.1716,0.22,14.0,0.0006,0.055400000000000005,0.0005465625857838584,0.2750206811705684,0.00040243709167349275,0.23743132265012978
KXNFLDRAFTPICK-26-8-CTAT,7.0,0.1131,0.13,7.0,0.00010000000000000018,0.048600000000000004,0.0002326538906178866,0.18552593724128805,0.0002188745088439202,0.15284172058043466
KXNFLDRAFTPICK-26-8-CTAT,3.0,0.1476,0.18,3.0,0.00010000000000000018,0.04610000000000001,9.062019753103838e-05,0.20691111283902275,6.169686041263619e-05,0.17319842133644311
KXRANKLISTSONGTOP10-25DEC27-GOL,14.0,0.20589999999999997,0.29,12.0,0.0002000000000000002,0.43945,0.0004318343225970316,0.2866361547862955,0.0002725963682739647,0.2588627527181622
KXRANKLISTSONGTOP10-25DEC27-GOL,7.0,0.16590000000000002,0.21000000000000002,7.0,0.0002000000000000002,0.16964999999999997,0.00023870855195373005,0.24422432471987107,0.00015709904594976378,0.20465376702241353
