key,band,budget,p0,tau0,evd,evj,mvd,mvj,cvd,cvj
sim117,3.0,0.24894526481088014,0.5324766868556484,3.0,0.0,0.27122250393741454,8.34674541931631e-05,0.40817391217651483,3.638814743494864e-05,0.26696656784241424
sim121,30.0,0.15131365496056465,0.8141438285872179,30.0,0.0006838481899717244,0.1558392552194289,0.0009936087338434448,1.064012734834747,0.001251752939267673,0.26783389917490924
sim121,14.0,0.12870650620843554,0.848272154774918,14.0,0.0001514889363428831,0.13236102143896827,0.0004924636638483217,0.6721008016427876,0.0004893534596195873,0.24160664692457673
sim121,7.0,0.2336824124748368,0.6277403128427483,7.0,0.0001402017871112804,0.08245149821154724,0.0002534064805696193,0.4984756649888746,0.00014149445886605636,0.274963984131035
sim124,30.0,0.059396181230620765,0.06341802743427526,30.0,0.0020221082839383176,0.012413646400293452,0.0008252912749445154,1.0275351129015475,0.0015756505505711681,0.18947095924818025
sim125,30.0,0.15726152789533973,0.1954700801158279,30.0,0.0009891317195446009,0.032547372621000034,0.0009389660492789931,1.1337683210726501,0.0012367013953468251,0.2324790334572821
sim127,30.0,0.0665851990812159,0.9282695423664682,30.0,0.0019373475192050239,0.009820311376067798,0.0009442834532932076,1.037202524254891,0.001641125475189974,0.1835223583447554
sim129,30.0,0.07063293227991589,0.9235174939953297,30.0,0.0015741086178484086,0.006940835097507058,0.0009033049632711317,1.043861723109708,0.0016742540378676357,0.17641436323721657
sim133,30.0,0.11922625940355816,0.13837347913013648,30.0,0.0006034485298819504,0.010276455528819738,0.0009203290979131569,1.0640640799028653,0.0012886980386321994,0.2576258317403657
sim136,30.0,0.24639736978703297,0.43997808556062995,30.0,0.0016801646782552727,0.06806842215971061,0.0009073207900643054,1.1603986101015016,0.000915669603953642,0.34500880329538036
sim136,14.0,0.2424820789055966,0.4132940538693946,14.0,0.0005254918837918465,0.03646906118149623,0.0004255829249901665,0.7631053066053102,0.00029040482434314764,0.3275472818843687
sim136,7.0,0.13409222990886524,0.15954769777377809,7.0,9.120417457233604e-05,0.020734472093130136,0.0002408188988218933,0.46440193225597765,0.00021261724132504343,0.17869582536096296
sim137,30.0,0.2481334836146481,0.45679680121389293,30.0,0.0008411157934970516,0.17283652103253952,0.0009991402137074445,1.1313015103433488,0.0009078436271565244,0.3452370789523877
sim137,14.0,0.14385801129952355,0.8257943963613807,14.0,0.0002979516829632962,0.0299118079344814,0.00043834061177742414,0.6001856350989561,0.0004567280109444437,0.24855490747109463
sim141,30.0,0.1696833068272303,0.21659800076081026,30.0,0.001537058957859932,0.1149136107782992,0.0009448972591104072,1.0719015522868214,0.001166649565177629,0.29981176679450733
sim147,30.0,0.053215436818455315,0.05639593872289144,30.0,0.00209610849826512,0.01540277787793221,0.0008408651377474837,0.9494189691558504,0.0015654911453631293,0.19866101295932875
sim149,30.0,0.2003125443542966,0.27709316823905233,30.0,0.001259588534873729,0.38009753352120323,0.0009787799253594056,1.0885609590900927,0.00099786294763292,0.3208372785880448
sim149,14.0,0.24362826981443386,0.57982311811478,14.0,0.0009358440482273376,0.04409373684238785,0.00048656217342855424,0.7399354449349695,0.00027708263661221954,0.3235458061668027
sim149,7.0,0.21530560686142022,0.6862643098894143,7.0,0.00025832889739997643,0.028200231786868885,0.00021401057265199488,0.47301533897915243,0.000136420751180794,0.2704491078120288
sim149,3.0,0.16714505712840277,0.787845345405475,3.0,0.0,0.017230845720457397,9.621129999714345e-05,0.333442508466333,4.487420000461715e-05,0.20837885235894738
sim151,30.0,0.19701294718412382,0.7301891674598876,30.0,0.00014509486384176612,0.896172561930961,0.0010012564803770852,1.1021570084070178,0.0010923530000543575,0.3059503366674335
sim151,14.0,0.24686678291441896,0.555975147034921,14.0,0.0,0.5532846364204727,0.00043552674659195893,0.7949396875836808,0.00030756673331968585,0.3094595505834133
